ValueDate,TheValue
10/07/2013,5
09/07/2013,5
08/07/2013,5
06/07/2013,5
05/07/2013,5
04/07/2013,5
03/07/2013,5
02/07/2013,5
01/07/2013,5
29/06/2013,5
28/06/2013,5
27/06/2013,5
26/06/2013,5
25/06/2013,5
24/06/2013,5
22/06/2013,5
21/06/2013,5
20/06/2013,5
19/06/2013,5
18/06/2013,5
15/06/2013,5
14/06/2013,5
13/06/2013,5
12/06/2013,5
11/06/2013,5
10/06/2013,5
08/06/2013,5
07/06/2013,5
06/06/2013,5
05/06/2013,5
04/06/2013,5
03/06/2013,5
01/06/2013,5
31/05/2013,5
30/05/2013,5
29/05/2013,5
28/05/2013,5
27/05/2013,5
25/05/2013,5
24/05/2013,5
23/05/2013,5
22/05/2013,5
21/05/2013,5
20/05/2013,5
18/05/2013,5
17/05/2013,5
16/05/2013,5
15/05/2013,5
14/05/2013,5
13/05/2013,5
11/05/2013,5
10/05/2013,5
09/05/2013,5
08/05/2013,5
07/05/2013,5
06/05/2013,5
04/05/2013,5
03/05/2013,5
02/05/2013,5
30/04/2013,5
29/04/2013,5
26/04/2013,5
25/04/2013,5
24/04/2013,5
23/04/2013,5
22/04/2013,5
20/04/2013,5
19/04/2013,5
18/04/2013,5
17/04/2013,5
16/04/2013,5
15/04/2013,5
13/04/2013,5
12/04/2013,5
11/04/2013,5
10/04/2013,5
09/04/2013,5
08/04/2013,5
06/04/2013,5
05/04/2013,5
04/04/2013,5
03/04/2013,5
02/04/2013,5
30/03/2013,5
28/03/2013,5
27/03/2013,5
26/03/2013,5
25/03/2013,5
